method,condition,game,seed,agent_actions,frames,episode_index,episode_score,episode_hns
DreamerV3,official_size12m,Alien,0,71231,284924,108,590.0,5.249351439875941
DreamerV3,official_size12m,Alien,0,71987,287948,109,450.0,3.220336526616328
DreamerV3,official_size12m,Alien,0,72653,290612,110,570.0,4.959492166553138
DreamerV3,official_size12m,Alien,0,73446,293784,111,1130.0,13.075551819591588
DreamerV3,official_size12m,Alien,0,74129,296516,112,450.0,3.220336526616328
DreamerV3,official_size12m,Alien,0,74778,299112,113,980.0,10.901607269670576
DreamerV3,official_size12m,Alien,0,75562,302248,114,430.0,2.930477253293526
DreamerV3,official_size12m,Alien,0,76365,305460,115,410.0,2.6406179799707243
DreamerV3,official_size12m,Alien,0,77081,308324,116,600.0,5.394281076537341
DreamerV3,official_size12m,Alien,0,77713,310852,117,450.0,3.220336526616328
DreamerV3,official_size12m,Alien,0,78426,313704,118,530.0,4.379773619907535
DreamerV3,official_size12m,Alien,0,79241,316964,119,470.0,3.5101957999391296
DreamerV3,official_size12m,Alien,0,79897,319588,120,450.0,3.220336526616328
DreamerV3,official_size12m,Alien,0,80615,322460,121,540.0,4.5247032565689365
DreamerV3,official_size12m,Alien,0,81481,325924,122,1160.0,13.510340729575791
DreamerV3,official_size12m,Alien,0,82380,329520,123,620.0,5.684140349860143
DreamerV3,official_size12m,Alien,0,83401,333604,124,580.0,5.10442180321454
DreamerV3,official_size12m,Alien,0,84126,336504,125,580.0,5.10442180321454
DreamerV3,official_size12m,Alien,0,84783,339132,126,520.0,4.234843983246134
DreamerV3,official_size12m,Alien,0,85612,342448,127,470.0,3.5101957999391296
DreamerV3,official_size12m,Alien,0,86215,344860,128,520.0,4.234843983246134
DreamerV3,official_size12m,Alien,0,86812,347248,129,480.0,3.655125436600531
DreamerV3,official_size12m,Alien,0,87691,350764,130,1550.0,19.162596559370428
DreamerV3,official_size12m,Alien,0,88420,353680,131,1030.0,11.62625545297758
DreamerV3,official_size12m,Alien,0,88934,355736,132,470.0,3.5101957999391296
DreamerV3,official_size12m,Alien,0,89681,358724,133,460.0,3.3652661632777288
DreamerV3,official_size12m,Alien,0,90362,361448,134,480.0,3.655125436600531
DreamerV3,official_size12m,Alien,0,91132,364528,135,1200.0,14.090059276221396
DreamerV3,official_size12m,Alien,0,91842,367368,136,510.0,4.089914346584734
DreamerV3,official_size12m,Alien,0,92541,370164,137,610.0,5.5392107131987425
DreamerV3,official_size12m,Alien,0,93378,373512,138,1080.0,12.350903636284585
DreamerV3,official_size12m,Alien,0,94194,376776,139,1070.0,12.205973999623184
DreamerV3,official_size12m,Alien,0,95000,380000,140,520.0,4.234843983246134
DreamerV3,official_size12m,Alien,0,95792,383168,141,2070.0,26.698937665763275
DreamerV3,official_size12m,Alien,0,96715,386860,142,1210.0,14.234988912882796
DreamerV3,official_size12m,Alien,0,97406,389624,143,620.0,5.684140349860143
DreamerV3,official_size12m,Alien,0,98247,392988,144,1070.0,12.205973999623184
DreamerV3,official_size12m,Alien,0,99022,396088,145,450.0,3.220336526616328
DreamerV3,official_size12m,Alien,0,99714,398856,146,540.0,4.5247032565689365
DreamerV3,official_size12m,Alien,0,100510,402040,147,560.0,4.814562529891738
DreamerV3,official_size12m,Alien,0,101271,405084,148,510.0,4.089914346584734
DreamerV3,official_size12m,Alien,0,101867,407468,149,490.0,3.8000550732619316
DreamerV3,official_size12m,Alien,0,102540,410160,150,560.0,4.814562529891738
DreamerV3,official_size12m,Alien,0,103255,413020,151,530.0,4.379773619907535
DreamerV3,official_size12m,Alien,0,104009,416036,152,600.0,5.394281076537341
DreamerV3,official_size12m,Alien,0,104932,419728,153,730.0,7.278366353135553
DreamerV3,official_size12m,Alien,0,105574,422296,154,620.0,5.684140349860143
DreamerV3,official_size12m,Alien,0,106339,425356,155,910.0,9.88709981304077
DreamerV3,official_size12m,Alien,0,107287,429148,156,670.0,6.408788533167147
DreamerV3,official_size12m,Alien,0,107949,431796,157,560.0,4.814562529891738
DreamerV3,official_size12m,Alien,0,108701,434804,158,590.0,5.249351439875941
DreamerV3,official_size12m,Alien,0,109457,437828,159,1080.0,12.350903636284585
DreamerV3,official_size12m,Alien,1,510,2040,1,280.0,0.7565327033725125
DreamerV3,official_size12m,Alien,1,1086,4344,2,90.0,-1.9971303931941047
DreamerV3,official_size12m,Alien,1,1721,6884,3,260.0,0.46667343004971074
DreamerV3,official_size12m,Alien,1,2248,8992,4,160.0,-0.9826229365642982
DreamerV3,official_size12m,Alien,1,2810,11240,5,160.0,-0.9826229365642982
DreamerV3,official_size12m,Alien,1,3458,13832,6,90.0,-1.9971303931941047
DreamerV3,official_size12m,Alien,1,4138,16552,7,170.0,-0.8376932999028973
DreamerV3,official_size12m,Alien,1,4663,18652,8,170.0,-0.8376932999028973
DreamerV3,official_size12m,Alien,1,5266,21064,9,200.0,-0.40290438991869465
DreamerV3,official_size12m,Alien,1,5886,23544,10,190.0,-0.5478340265800955
DreamerV3,official_size12m,Alien,1,6405,25620,11,90.0,-1.9971303931941047
DreamerV3,official_size12m,Alien,1,7022,28088,12,140.0,-1.2724822098871
DreamerV3,official_size12m,Alien,1,7703,30812,13,90.0,-1.9971303931941047
DreamerV3,official_size12m,Alien,1,8294,33176,14,200.0,-0.40290438991869465
DreamerV3,official_size12m,Alien,1,8964,35856,15,180.0,-0.6927636632414964
DreamerV3,official_size12m,Alien,1,9706,38824,16,200.0,-0.40290438991869465
DreamerV3,official_size12m,Alien,1,10171,40684,17,160.0,-0.9826229365642982
DreamerV3,official_size12m,Alien,1,10911,43644,18,260.0,0.46667343004971074
DreamerV3,official_size12m,Alien,1,11554,46216,19,140.0,-1.2724822098871
DreamerV3,official_size12m,Alien,1,12442,49768,20,300.0,1.0463919766953143
DreamerV3,official_size12m,Alien,1,13178,52712,21,350.0,1.7710401600023187
DreamerV3,official_size12m,Alien,1,13592,54368,22,180.0,-0.6927636632414964
